CASES,HCI,MEAT,PD,HYGIENE,SANITATION,WATER,SL,HAQI
18.857,40,8.59,54.422,37.74603202,43.41761001,67.06462342,507.1034319,32.5
151.429,53.5,18.06,17.348,83.74060269,87.58657093,93.55588814,3973.964072,63.7
34.143,36.2,23.49,23.89,26.66418257,49.87697876,55.84290487,2790.726615,40.7
479.286,57.9,45.64,102.931,94.04294137,93.64230727,99,4622.733493,67.5
421,57.8,34.08,119.309,83.2413,92.51144535,91.38573994,4793.58702,64.5
862.571,46.4,4.04,1265.036,34.80760361,48.23324272,97.01600557,1855.739824,51.7
5,48.1,41.09,16.426,90.08276664,87.85852355,97.99257979,4815.163711,58.3
61.429,40,20.24,99.11,11.03491343,16.45292057,66.41472534,1219.432672,43
718.143,64.1,71.39,10.202,25.38289907,60.71693757,92.84873518,3552.06876,59.2
26,38.4,12,70.151,11.87738933,19.40208709,47.88812734,786.8956313,42.9
44.429,49.2,12.34,90.672,66.2286221,59.22696598,78.51065693,1643.121389,50.7
701.143,39.7,11.98,50.885,9.402066434,39.07555016,60.38486395,1507.450206,44.4
26.429,30,26.48,11.833,5.81809378,8.342483278,38.70059943,709.5403101,37.7
3576.429,60.4,55.9,44.223,65.38575811,89.62535776,97.30010961,6428.676206,67.8
21.429,41.9,40.11,15.405,47.96367246,20.17287892,73.21776097,2279.969131,43.5
344.571,38,12.38,76.399,19.35079694,32.13490714,72.86894644,2276.333279,42.4
833.429,75.6,55.47,110.408,85.19820752,92.81024176,95.32758231,8821.819,73.5
480.714,50.3,55.24,222.873,55.18198096,83.89320632,96.69022475,8282.116359,62.5
1163.714,59.4,45.22,66.939,80.63477845,87.98871604,93.99453654,6183.823825,61.2
615,49.4,26.29,97.999,89.82696945,94.19302188,99,3019.205829,61
163.857,54.6,30.52,307.811,90.64968485,87.43356667,97.38837497,4187.250031,64.4
10,37.3,27.6,79.492,24.09696334,58.35198329,69.00865514,3894.679807,41.9
1214,38.3,5.4,104.957,7.960389747,7.316332895,41.05995213,855.7608623,44.2
25.714,42.2,7.82,207.566,7.876266291,39.23114998,77.99156682,777.8119321,49.7
214,45,13.73,126.719,41.04730838,18.47216562,81.45338968,2202.115567,49.7
608.286,46.1,36.39,157.834,76.66550362,65.06313508,94.19058074,4619.985258,55.7
167.429,37.1,13.05,51.755,17.44971711,22.71926989,61.89872308,962.8399086,38.6
13.571,42.9,17.29,66.191,6.402937089,20.538003,66.63441423,697.2949269,36.3
48.571,49.5,45.22,3.952,77.15941492,85.7631015,95.53974768,6609.586425,49.8
13.714,44.7,17.61,398.448,22.86274626,34.70445429,65.46682593,1272.490925,38.5
20240.429,49.4,3.78,450.419,59.54968752,59.54344827,92.67464257,2099.599048,44.8
6009.286,54,11.7,145.725,64.20361858,73.12838737,89.34401223,4135.569263,49.2
4449,40.8,19.06,88.125,94.57594778,94.12102245,96.53347833,5955.10901,60.1
794.571,62.9,64.88,6.681,98.99937405,97.87370168,95.62750722,9812.390376,61.1
600.857,54.7,15.94,87.324,24.6510437,29.05111506,58.91633339,1816.546916,48.7
52.429,59.7,30.46,32.333,89.22040168,96.50706696,87.4559029,1309.392992,60.4
0.714,40,19.53,73.562,2.117111411,42.75432019,68.64993758,1118.131284,35.7
1,31.9,18.27,49.127,1.18848044,16.9735177,72.94803095,621.8929536,45.4
66.143,41.3,20.34,197.519,8.703956048,26.22614825,68.83187676,411.5523404,47
116.714,74,20.61,1454.433,95.80286294,99,99,10626.5134,75.5
43.429,31.8,23.68,15.196,52.23208392,39.33542034,78.26082958,879.0080104,45.6
17.857,38.2,31.06,4.289,42.99904889,48.43548977,70.69618765,1679.444873,52
5495.143,61.3,64.87,66.444,87.84668422,91.18305556,99,9946.033829,62.6
96,61.4,88.37,1.98,71.17954891,58.47939277,83.31311501,4339.843279,58.5
17.429,47.8,58.24,81.721,79.28708548,64.33268404,81.77404853,1407.813143,48.4
162,44.6,30.53,3.078,44.59990385,34.50373693,82.54109887,4957.458222,53.7
72.857,50.5,13.55,204.43,47.78184,62.05359545,88.81224952,1071.050761,50.8
327.143,36.1,7.15,209.588,41.94891533,39.1717541,71.3766307,2229.858696,51.3
1972.571,40.6,16.87,255.573,59.60691246,59.86949503,91.46545073,1284.702041,43.1
1683.143,52.8,54.06,17.144,79.6015253,89.78369143,99,5414.799138,60.4
3416.286,51.6,37.04,351.873,78.46296303,76.53350207,93.56837604,3485.084218,52
90.143,38,9.08,494.869,4.617278345,66.5738424,57.71327853,820.0252417,47.8
19.143,62.5,14.81,212.841,41.33987462,42.97494428,84.29015993,1946.643614,49.6
157.286,42,14.13,82.328,24.14587608,51.47398952,80.67785387,1446.830965,44.4
3.571,36.3,8.23,104.7,19.27513816,15.65266158,60.80698694,527.5336344,41.3
0.001,42,11.74,21.841,35.88967318,33.52835363,67.77595721,2373.63247,43.1
1127.714,42.5,60.02,46.754,43.99257359,75.7470984,92.67870194,6001.400814,52
56.286,30.7,21.39,23.258,23.43736496,36.57503249,60.26709116,441.5056034,50.1
0.001,50.4,16.47,64.281,72.70350454,97.02306222,81.1962748,870.7875893,58.6
0.001,39,9.22,64.699,47.95269271,29.91343902,56.72645032,1122.12181,49.9
62.571,60.9,27.37,135.132,83.9233582,98.75073461,99,7806.742211,70.8
7.286,45.4,31.51,87.176,28.17822884,53.51900783,78.34386574,1560.509822,51.6
75,43.2,12.58,143.366,10.47480559,16.1321037,65.12884019,679.2902491,44.3
608.714,51.7,28.36,74.228,78.68689065,90.92139742,96.25470364,3317.453593,70.1
13.143,38.4,9.69,213.759,21.22248946,18.47231816,49.10403239,794.3410779,42.9
0.286,45.5,36.03,22.662,25.2091497,34.0670576,91.25680395,3115.35862,43.1
8,69,40.94,308.127,85.84654415,83.51504947,94.71880561,2715.276036,66.3
45.429,37.3,16.86,53.508,49.54235443,59.05300312,63.47347434,774.3344898,49.6
414.143,39.7,13.12,22.995,13.93808001,26.37011849,59.96375651,1305.063254,41.6
25,46.7,17.67,42.729,36.79126117,36.22139756,64.0512297,1463.98591,48.7
